No,BookCode,BookName,BookAuthor,Publication,Domain
51,BES-CP-021,Gimpses Of C++ Object Oriented Programming,Rajendra Akerkar,Mahalaxmi Publishing House,Computer Programming
52,BES-CP-022,A first Book of C++,Gary J Bronson,Thomson Learning,Computer Programming
53,BES-CP-025,The Complete Reference C++,Herbert Schildt,Tata McGraw Hill,Computer Programming
54,BES-CP-0267,Programming with C++,John R Hubbard,Schaum's Outlines,Computer Programming
55,BES-CP-027,Mastering C++,KR Venugopal & Rajkumar,McGraw Hill Education,Computer Programming
56,BES-CP-030,The C Programming Language,Brian W. Kernighan,PHI Publications,Computer Programming
57,BES-CP-032,Understanding Pointers In C,Yashwant Kanetkar,BPB Publication,Computer Programming
58,BES-CP-033,C++ Programming Language,Bjarne Stroustrup,Addison Wesley,Computer Programming
59,BES-CP-034,Computer Organization and Architecture,Harish G. Narula,Neebal Technologies,Computer Programming
60,BES-CP-035,Let Us C++ Solutions,Yashwant Kanetkar,BPB Publications,Computer Programming
61,BES-CP-036,C++ Programming,Alok Pawar,Techmax Publication,Computer Programming
62,BES-CP-038,C Programming,Harish G. Narula Khushboo Shah,Techknowledge Publications,Computer Programming
63,BES-CP-0384,GATE 2005-SLP,Harish G. Narula and Khushboo Shah,TechKnowledge Publication,Computer Programming
64,BES-CP-039,Programing and Problem Solving using C,ISRD Group,McGraw Hill Education,Computer Programming
65,BES-CP-040,Computer Fundamentals and Programming,Sumitha Das,McGraw Hill Education,Computer Programming
66,BES-CP-041,Object Oriented Programming Methodology,Radha Shankarmani,dreamtech Press,Computer Programming
67,BES-CP-042,Programming with C,Jitendra Kumar Chhabra,McGrawHill Education,Computer Programming
68,BES-CP-043,Programming for Problem Solving,B.L Juneja Anita Seth,Cengage,Computer Programming
69,BES-CP-045,Object Oriented Programming and C++,R. Rajaram,New Age Publication,Computer Programming
70,BES-CP-062101,Programming in ANSI C,E. BALAGURUSAMY,McGrawHill Education,Computer Programming
71,BES-CPI-0011,Computer Concepts and C programming,P. B. Kotur,Sapna Book House,Computer Programming
72,BES-IT-001,Introduction to Information Theory,V. Rajaraman,Prentice Hall Publication,Computer Programming
73,BES-IT-002,Foundations of Information Theory,Ketha Anuradha Rao,Nandu Publication,Computer Programming
74,BES-IT-003,Computer Science and Information Technology,S.S.Khandare,S.Chand and Company,Computer Programming
75,BES-IT-004,Foundations of Information Technology,D. S. Yadav,New Age Publication,Computer Programming
76,BES-IT-0041,Foundations Of Information Technology,D.S. Yadav,New Age International Publishers,Computer Programming
77,BES-IT-005,Information Technology,Atul Kahate,Tata McGraw-Hill,Computer Programming
78,BES-IT-006,A Textbook Of Information Technology,R. Sarvana Kumar,S. Chand and Company LTD.,Computer Programming
79,BES-IT-007,Information Technology Network And Internet,C.T. Bhunia,NewAge International Publishers,Computer Programming
80,BES-JAVA-0021,Programming In JAVA,Sachin Malhotra,Oxford Education,Computer Programming
81,BES-JAVA-003,Visual C++ 6,Michael J. Young,bpb publu,Computer Programming
82,BES-JAVA-005,Object Oriented programming In JAVA,G.T. Thampi,Dreamtech Press,Computer Programming
83,BES-JAVA-006,Object Oriented Programming,Jose M. Garrido,Firewall Media,Computer Programming
84,BES-JAVA-0072,JAVA 2,Herbert Schildt,Tata McGrawHill Edition,Computer Programming
85,BES-JAVA-0074,The Complete Reference J2EE,Jim Keogh,Tata McGraw Hill Edition,Computer Programming
86,BES-JAVA-0076,Java Servlet Programming,Jason Hunter,O`Reilly,Computer Programming
87,BES-JAVA-007601,Java 2,Patrick Naughton,Tata McGraw Hill,Computer Programming
88,BES-JAVA-0078,Head First EJB,Kathy Sierra & Bert Bates,O`Reilly,Computer Programming
89,BES-JAVA-0079,Head First JAVA,Kathy Sierra and Bert Bates,O'Reilly,Computer Programming
90,BES-JAVA-0080,Head First Servlets and JSP,Bryan Bashman,O'Reilly,Computer Programming
91,BES-JAVA-0090,The Java Tutorial Continued The Rest of JDK,Mary Campione and Kathy Walrath,Adison-Wesley Publication,Computer Programming
92,BES-JAVA-0091,SCJP Java 6,Dreamtech Press,Dreamtech Press,Computer Programming
93,BES-JAVA-0092,The Java Programming Language,Ken Arnold and James Gosling,Pearson Publication,Computer Programming
